,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides DM-dig,Peptides DM-tx,Peptides TbGPI12-dig,Peptides TbGPI12-tx,Razor + unique peptides DM-dig,Razor + unique peptides DM-tx,Razor + unique peptides TbGPI12-dig,Razor + unique peptides TbGPI12-tx,Unique peptides DM-dig,Unique peptides DM-tx,Unique peptides TbGPI12-dig,Unique peptides TbGPI12-tx,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Fraction 2,Fraction 11,Fraction 12,Fraction 31,Fraction 32,Fraction 41,Fraction 42,Q-value,Score,Identification type DM-dig,Identification type DM-tx,Identification type TbGPI12-dig,Identification type TbGPI12-tx,Sequence coverage DM-dig [%],Sequence coverage DM-tx [%],Sequence coverage TbGPI12-dig [%],Sequence coverage TbGPI12-tx [%],Intensity,Intensity DM-dig,Intensity DM-tx,Intensity TbGPI12-dig,Intensity TbGPI12-tx,iBAQ,iBAQ DM-dig,iBAQ DM-tx,iBAQ TbGPI12-dig,iBAQ TbGPI12-tx,LFQ intensity DM-dig,LFQ intensity DM-tx,LFQ intensity TbGPI12-dig,LFQ intensity TbGPI12-tx,MS/MS count DM-dig,MS/MS count DM-tx,MS/MS count TbGPI12-dig,MS/MS count TbGPI12-tx,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Gene_id,Gene_desc
86,Tb11.v5.0325.1-p1;Tb927.5.295b:mRNA-p1;Tb11.v5.0214.1-p1,Tb11.v5.0325.1-p1;Tb927.5.295b:mRNA-p1;Tb11.v5.0214.1-p1,1;1;1,1;1;1,1;1;1,;;,3,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,4.3,4.3,4.3,36.986,325,325;829;829,2.0,,1.0,,,,,,,0.0041736,6.7245,By MS/MS,,,,4.3,0.0,0.0,0.0,34357,34357,0,0,0,1636.0,1636.0,0.0,0.0,0.0,8162.4,0,0,0.0,1,0,0,0,1,,,,86,508,True,538,1139,1302,1302,,,Tb11.v5.0325,"retrotransposon hot spot (RHS) protein, putative"
87,Tb927.5.450:mRNA-p1;Tb11.v5.0222.1-p1,Tb927.5.450:mRNA-p1;Tb11.v5.0222.1-p1,6;6,6;6,6;6,;,2,6,6,6,6,0,0,0,6,0,0,0,6,0,0,0,12.7,12.7,12.7,55.32,496,496;496,2.0,,10.0,,,,,,,0.0,42.403,By MS/MS,,,,12.7,0.0,0.0,0.0,712880,712880,0,0,0,29703.0,29703.0,0.0,0.0,0.0,148440.0,0,0,0.0,11,0,0,0,11,,,,87,1053;1794;1875;3472;4548;5747,True;True;True;True;True;True,1144;1145;1948;2039;3765;3766;4978;6298,2463;2464;4202;4387;4388;8229;8230;10913;10914;13990,2841;2842;2843;4848;5066;5067;9677;9678;12880;12881;16675,2843;4848;5066;9677;12880;16675,67;68,358;407,Tb927.5.450,"NADH-ubiquinone oxidoreductase, mitochondrial, putative"
88,Tb927.10.5220:mRNA-p1;Tb11.v5.0235.1-p1;REV__Tb11.v5.0485.1-p1;REV__Tb927.10.9280:mRNA-p1,Tb927.10.5220:mRNA-p1;Tb11.v5.0235.1-p1,6;6;1;1,6;6;1;1,6;6;1;1,;,4,6,6,6,6,0,0,2,6,0,0,2,6,0,0,2,13.9,13.9,13.9,51.172,447,447;447;900;957,9.5,,6.0,,,,2.0,,,0.0,37.529,By MS/MS,,,By MS/MS,13.9,0.0,0.0,6.3,1078000,948250,0,0,129800,39928.0,35120.0,0.0,0.0,4807.3,213150.0,0,0,101080.0,7,0,0,2,9,,,,88,30;113;1583;2024;3157;3689,True;True;True;True;True;True,32;119;1722;2204;3424;4057,65;66;250;251;3681;4745;7537;8890,81;82;304;305;306;4230;5483;8898;10497,82;304;4230;5483;8898;10497,69,95,Tb927.10.5220,"hypothetical protein, conserved"
89,Tb927.10.5340:mRNA-p1;Tb927.10.5330:mRNA-p1;Tb11.v5.1060.1-p1;Tb11.v5.0243.1-p1,Tb927.10.5340:mRNA-p1;Tb927.10.5330:mRNA-p1;Tb11.v5.1060.1-p1;Tb11.v5.0243.1-p1,4;4;4;4,4;4;4;4,4;4;4;4,;;;,4,4,4,4,3,4,1,1,3,4,1,1,3,4,1,1,28.8,28.8,28.8,17.51,153,153;153;153;153,22.1,3.0,2.0,1.0,,1.0,1.0,4.0,1.0,0.0,28.146,By MS/MS,By MS/MS,By MS/MS,By MS/MS,19.6,28.8,5.9,5.9,1075800,510010,479730,30008,56010,119530.0,56668.0,53303.0,3334.3,6223.4,511850.0,365720,0,0.0,4,4,1,1,10,,,,89,221;2596;3121;4418,True;True;True;True,233;2818;3382;4840,496;497;498;6235;6236;7416;7417;7418;7419;7420;7421;7422;10639,576;577;578;7350;7351;8740;8741;8742;8743;12562,576;7351;8742;12562,,,Tb927.10.5340,"40S ribosomal protein S18, putative"
90,Tb927.10.5300:mRNA-p1;Tb11.v5.0246.1-p1,Tb927.10.5300:mRNA-p1;Tb11.v5.0246.1-p1,2;2,2;2,2;2,;,2,2,2,2,1,1,0,0,1,1,0,0,1,1,0,0,10.9,10.9,10.9,26.925,248,248;248,21.0,1.0,,,,,,1.0,,0.0,14.075,By MS/MS,By MS/MS,,,3.6,7.3,0.0,0.0,84735,43332,41402,0,0,7061.2,3611.0,3450.2,0.0,0.0,0.0,36298,0,0.0,1,1,0,0,2,,,,90,944;4927,True;True,1026;5389,2200;11884,2552;14091,2552;14091,,,Tb927.10.5300,"eukaryotic translation initiation factor 6 (eIF-6), putative"
91,Tb927.11.7250:mRNA-p1;Tb11.v5.0257.1-p1,Tb927.11.7250:mRNA-p1;Tb11.v5.0257.1-p1,3;3,3;3,3;3,;,2,3,3,3,3,0,0,0,3,0,0,0,3,0,0,0,7.9,7.9,7.9,53.363,496,496;496,2.0,,3.0,,,,,,,0.0,21.128,By MS/MS,,,,7.9,0.0,0.0,0.0,254380,254380,0,0,0,11060.0,11060.0,0.0,0.0,0.0,60435.0,0,0,0.0,4,0,0,0,4,,,,91,3001;3328;4532,True;True;True,3249;3604;4961,7099;7909;10874,8380;8381;9329;12817,8381;9329;12817,,,Tb927.11.7250,"hypothetical protein, conserved"
92,Tb927.7.4520:mRNA-p1;Tb11.v5.0265.1-p1,Tb927.7.4520:mRNA-p1;Tb11.v5.0265.1-p1,1;1,1;1,1;1,;,2,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,6.5,6.5,6.5,22.315,201,201;201,1.0,1.0,,,,,,,,0.0017527999999999999,6.9326,By MS/MS,,,,6.5,0.0,0.0,0.0,23968,23968,0,0,0,2396.8,2396.8,0.0,0.0,0.0,23968.0,0,0,0.0,1,0,0,0,1,,,,92,2185,True,2376,5125,5944,5944,,,Tb927.7.4520,"Thioredoxin-like, putative"
93,Tb927.7.4570:mRNA-p1;Tb11.v5.0270.1-p1,Tb927.7.4570:mRNA-p1;Tb11.v5.0270.1-p1,3;3,3;3,3;3,;,2,3,3,3,3,0,0,1,3,0,0,1,3,0,0,1,7.0,7.0,7.0,39.39,357,357;357,7.8,1.0,3.0,,,,1.0,,,0.0,18.374000000000002,By MS/MS,,,By MS/MS,7.0,0.0,0.0,2.8,317980,277710,0,0,40267,16736.0,14616.0,0.0,0.0,2119.3,91038.0,0,0,0.0,3,0,0,1,4,,,,93,818;1717;5114,True;True;True,882;1864;5599,1902;3999;4000;12345;12346,2205;4625;4626;14750,2205;4625;14750,,,Tb927.7.4570,inosine-guanine nucleoside hydrolase
94,Tb927.10.6300:mRNA-p1;Tb11.v5.0276.1-p1,Tb927.10.6300:mRNA-p1;Tb11.v5.0276.1-p1,2;2,2;2,2;2,;,2,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,5.5,5.5,5.5,50.038000000000004,435,435;435,2.0,,2.0,,,,,,,0.0,13.235,By MS/MS,,,,5.5,0.0,0.0,0.0,153670,153670,0,0,0,5488.4,5488.4,0.0,0.0,0.0,36510.0,0,0,0.0,2,0,0,0,2,,,,94,837;916,True;True,904;996,1960;2148,2272;2492,2272;2492,,,Tb927.10.6300,"Ribosomal protein S5, C-terminal domain containing protein, putative"
95,Tb927.10.8450:mRNA-p1;Tb11.v5.0310.1-p1;Tb927.10.8480:mRNA-p1;Tb927.10.8470:mRNA-p1;Tb927.10.8460:mRNA-p1;Tb927.10.8440:mRNA-p1;Tb11.v5.0330.1-p1;Tb11.v5.0309.1-p1;Tb11.v5.0308.1-p1;Tb11.v5.0307.1-p1,Tb927.10.8450:mRNA-p1;Tb11.v5.0310.1-p1;Tb927.10.8480:mRNA-p1;Tb927.10.8470:mRNA-p1;Tb927.10.8460:mRNA-p1;Tb927.10.8440:mRNA-p1;Tb11.v5.0330.1-p1;Tb11.v5.0309.1-p1;Tb11.v5.0308.1-p1;Tb11.v5.0307.1-p1,2;2;1;1;1;1;1;1;1;1,2;2;1;1;1;1;1;1;1;1,2;2;1;1;1;1;1;1;1;1,;;;;;;;;;,10,2,2,2,2,0,0,1,2,0,0,1,2,0,0,1,4.2,4.2,4.2,56.558,527,527;527;527;527;527;527;527;527;527;527,9.25,1.0,2.0,,,,1.0,,,0.0,12.323,By MS/MS,,,By MS/MS,4.2,0.0,0.0,2.5,6180000,6136700,0,0,43303,515000.0,511390.0,0.0,0.0,3608.6,1478900.0,0,0,0.0,4,0,0,1,5,,,,95,1350;5032,True;True,1474;5506,3148;3149;3150;12113,3602;3603;3604;3605;14377,3602;14377,,,Tb927.10.8450,glucose transporter 1E
96,Tb11.v5.0333.1-p1;Tb927.10.8530:mRNA-p1;Tb927.10.8520:mRNA-p1;Tb927.10.8510:mRNA-p1;Tb927.10.8500:mRNA-p1;Tb927.10.8490:mRNA-p1;Tb11.v5.0332.1-p1;Tb11.v5.0331.1-p1,Tb11.v5.0333.1-p1;Tb927.10.8530:mRNA-p1;Tb927.10.8520:mRNA-p1;Tb927.10.8510:mRNA-p1;Tb927.10.8500:mRNA-p1;Tb927.10.8490:mRNA-p1;Tb11.v5.0332.1-p1;Tb11.v5.0331.1-p1,5;5;5;5;5;5;5;5,5;5;5;5;5;5;5;5,5;5;5;5;5;5;5;5,;;;;;;;,8,5,5,5,5,0,0,0,5,0,0,0,5,0,0,0,12.4,12.4,12.4,34.275999999999996,322,322;529;529;529;529;529;529;529,1.73,3.0,8.0,,,,,,,0.0,34.914,By MS/MS,,,,12.4,0.0,0.0,0.0,12521000,12521000,0,0,0,1565200.0,1565200.0,0.0,0.0,0.0,2935200.0,0,0,0.0,13,0,0,0,13,,,,96,556;633;938;939;5006,True;True;True;True;True,593;676;677;1019;1020;5477;5478,1313;1314;1485;1486;2190;2191;2192;12057;12058;12059;12060,1536;1537;1538;1740;1741;2543;2544;14300;14301;14302;14303;14304;14305,1536;1741;2543;2544;14304,70;71,146;247,Tb11.v5.0333,"THT1 - hexose transporter, putative, fragment"
97,Tb927.10.16170:mRNA-p1;Tb11.v5.0396.1-p1,Tb927.10.16170:mRNA-p1;Tb11.v5.0396.1-p1,3;3,3;3,3;3,;,2,3,3,3,0,3,0,0,0,3,0,0,0,3,0,0,12.4,12.4,12.4,34.606,307,307;340,41.0,,,,,,,3.0,,0.0,19.668,,By MS/MS,,,0.0,12.4,0.0,0.0,151480,0,151480,0,0,11653.0,0.0,11653.0,0.0,0.0,0.0,132810,0,0.0,0,3,0,0,3,,,,97,1556;4865;5813,True;True;True,1695;5326;6377,3606;11743;14169,4137;13937;16900,4137;13937;16900,,,Tb927.10.16170,"potassium voltage-gated channel, putative"
98,Tb927.10.540:mRNA-p1;Tb11.v5.0414.1-p1,Tb927.10.540:mRNA-p1;Tb11.v5.0414.1-p1,10;10,10;10,10;10,;,2,10,10,10,6,3,0,9,6,3,0,9,6,3,0,9,24.5,24.5,24.5,49.226000000000006,436,436;436,21.4,1.0,7.0,,,,9.0,,3.0,0.0,64.904,By MS/MS,By MS/MS,,By MS/MS,13.1,8.0,0.0,24.5,2620100,1541400,164180,0,914520,124770.0,73401.0,7818.3,0.0,43549.0,406380.0,479390,0,507340.0,8,3,0,10,21,,,,98,993;1416;1603;1967;2466;2715;4248;4515;5620;5780,True;True;True;True;True;True;True;True;True;True,1080;1543;1745;1746;2136;2670;2947;4661;4944;6156;6336,2355;3307;3308;3309;3746;3747;3748;4601;5840;5841;5842;6491;6492;10181;10182;10844;10845;10846;13692;14073,2718;3811;3812;3813;4319;4320;4321;5329;6877;6878;6879;7638;7639;7640;12026;12027;12787;12788;12789;16320;16768,2718;3811;4319;5329;6879;7638;12026;12789;16320;16768,72,239,Tb927.10.540,"ATP-dependent RNA helicase SUB2, putative"
99,Tb927.10.14490:mRNA-p1;Tb11.v5.0420.1-p1,Tb927.10.14490:mRNA-p1;Tb11.v5.0420.1-p1,2;2,2;2,2;2,;,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,2,6.9,6.9,6.9,46.24,420,420;420,32.0,,,,,,2.0,,,0.0,14.015,,,,By MS/MS,0.0,0.0,0.0,6.9,192070,0,0,0,192070,8351.0,0.0,0.0,0.0,8351.0,0.0,0,0,131630.0,0,0,0,4,4,,,,99,3025;4311,True;True,3274;4726,7165;10345,8448;8449;8450;12203,8448;12203,,,Tb927.10.14490,"hypothetical protein, conserved"
100,Tb927.10.15850:mRNA-p1;Tb11.v5.0427.1-p1,Tb927.10.15850:mRNA-p1;Tb11.v5.0427.1-p1,3;3,3;3,3;3,;,2,3,3,3,3,0,0,0,3,0,0,0,3,0,0,0,11.4,11.4,11.4,43.172,395,395;395,2.0,,3.0,,,,,,,0.0,23.67,By MS/MS,,,,11.4,0.0,0.0,0.0,310450,310450,0,0,0,12935.0,12935.0,0.0,0.0,0.0,73756.0,0,0,0.0,3,0,0,0,3,,,,100,699;2106;4127,True;True;True,752;2295;4534,1642;4938;9938,1903;5740;11739,1903;5740;11739,,,Tb927.10.15850,peroxin 12
101,Tb11.v5.0468.1-p1,Tb11.v5.0468.1-p1,18,1,1,,1,18,1,1,12,13,6,17,0,0,0,1,0,0,0,1,77.5,4.4,4.4,27.962,249,249,32.0,,,,,,1.0,,,0.0017715,6.9909,By matching,By matching,By matching,By MS/MS,61.0,62.2,28.5,71.9,32824,0,0,0,32824,2188.2,0.0,0.0,0.0,2188.2,0.0,0,0,22494.0,0,0,0,2,2,,,,101,179;528;608;627;985;1078;1489;1782;2356;2443;2897;3042;3730;3910;4120;4138;4792;5791,False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False,189;560;561;647;648;649;668;1071;1171;1623;1624;1934;2551;2552;2646;3139;3296;4102;4305;4527;4546;5243;6347;6348;6349,390;1202;1203;1204;1205;1206;1207;1208;1209;1210;1211;1432;1433;1434;1435;1436;1437;1438;1439;1440;1468;1469;1470;1471;1472;1473;1474;2332;2333;2334;2335;2336;2337;2338;2339;2509;2510;3454;3455;3456;3457;3458;3459;3460;3461;3462;3463;3464;3465;3466;3467;3468;4170;4171;5520;5521;5522;5523;5524;5525;5526;5779;5780;5781;5782;5783;5784;5785;5786;5787;5788;5789;6871;7232;7233;7234;7235;9003;9004;9005;9006;9007;9008;9009;9010;9011;9012;9013;9480;9921;9922;9953;9954;9955;11504;11505;11506;11507;11508;11509;11510;11511;14093;14094;14095;14096;14097;14098;14099;14100;14101;14102;14103;14104;14105;14106;14107;14108;14109;14110;14111;14112;14113;14114;14115;14116;14117;14118;14119;14120,455;456;457;1382;1383;1384;1385;1386;1387;1388;1389;1390;1391;1392;1393;1394;1395;1396;1669;1670;1671;1672;1673;1674;1675;1676;1677;1678;1679;1680;1681;1682;1683;1684;1685;1686;1687;1688;1721;1722;1723;1724;1725;1726;1727;1728;2690;2691;2692;2693;2694;2695;2696;2697;2698;2699;2700;2701;2895;2896;3974;3975;3976;3977;3978;3979;3980;3981;3982;3983;3984;3985;3986;3987;3988;4810;4811;6485;6486;6487;6488;6489;6490;6491;6492;6493;6494;6793;6794;6795;6796;6797;6798;6799;6800;6801;6802;6803;6804;6805;6806;6807;6808;6809;6810;6811;6812;6813;8118;8119;8537;8538;8539;10630;10631;10632;10633;10634;10635;10636;10637;10638;10639;10640;10641;10642;10643;10644;11214;11718;11719;11761;11762;11763;11764;13629;13630;13631;13632;13633;13634;13635;13636;13637;13638;13639;13640;13641;13642;13643;13644;13645;16800;16801;16802;16803;16804;16805;16806;16807;16808;16809;16810;16811;16812;16813;16814;16815;16816;16817;16818;16819;16820;16821;16822;16823;16824;16825;16826;16827;16828;16829;16830;16831;16832;16833;16834;16835,455;1382;1684;1728;2691;2896;3983;4810;6485;6805;8119;8539;10632;11214;11719;11764;13639;16834,73;74;75;76;77;78;79,99;100;111;116;175;196;211,Tb11.v5.0468,"alpha tubulin, putative"
102,Tb927.1.2390:mRNA-p1;Tb927.1.2370:mRNA-p1;Tb927.1.2350:mRNA-p1;Tb927.1.2330:mRNA-p1;Tb11.v5.0469.1-p1;Tb927.1.2410:pseudogenic_transcript-p1,Tb927.1.2390:mRNA-p1;Tb927.1.2370:mRNA-p1;Tb927.1.2350:mRNA-p1;Tb927.1.2330:mRNA-p1;Tb11.v5.0469.1-p1;Tb927.1.2410:pseudogenic_transcript-p1,24;24;24;24;24;15,24;24;24;24;24;15,24;24;24;24;24;15,;;;;;,6,24,24,24,20,18,10,24,20,18,10,24,20,18,10,24,61.8,61.8,61.8,49.70399999999999,442,442;442;442;442;442;300,23.4,18.0,57.0,10.0,15.0,13.0,76.0,20.0,44.0,0.0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,47.3,44.3,27.6,61.8,282150000,141070000,24992000,7398900,108690000,14108000.0,7053400.0,1249600.0,369940.0,5434600.0,27294000.0,47007000,11080000,67605000.0,131,79,29,177,416,,,,102,211;1195;1385;1619;1620;1704;1881;1965;2535;2552;2740;2862;3027;3263;3452;3573;3587;3759;3806;4146;4537;4601;5191;5784,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,223;1298;1511;1512;1763;1764;1851;2045;2133;2134;2749;2750;2751;2771;2974;3103;3276;3277;3278;3535;3736;3737;3917;3918;3937;3938;3939;4133;4134;4135;4188;4554;4966;5037;5038;5682;5683;6340,474;475;476;477;478;479;2763;2764;2765;2766;2767;2768;2769;2770;2771;2772;2773;2774;3225;3226;3227;3228;3229;3230;3231;3232;3233;3234;3235;3236;3237;3238;3239;3240;3241;3242;3243;3244;3245;3246;3247;3248;3249;3250;3251;3252;3784;3785;3786;3787;3788;3789;3790;3791;3792;3793;3794;3795;3796;3797;3979;4399;4577;4578;4579;4580;4581;4582;4583;4584;4585;4586;4587;4588;4589;4590;4591;4592;4593;4594;4595;4596;4597;4598;4599;6009;6010;6011;6012;6013;6014;6015;6016;6017;6018;6019;6020;6021;6022;6023;6024;6025;6026;6027;6028;6029;6030;6031;6032;6033;6034;6035;6036;6037;6038;6039;6040;6041;6042;6106;6107;6108;6109;6110;6111;6112;6113;6540;6541;6542;6801;6802;6803;6804;6805;6806;6807;6808;7169;7170;7171;7172;7173;7174;7175;7176;7177;7178;7179;7180;7181;7182;7183;7184;7185;7186;7187;7188;7189;7766;7767;7768;7769;7770;7771;8170;8171;8172;8594;8595;8596;8597;8598;8599;8600;8631;8632;8633;8634;9076;9077;9078;9079;9080;9081;9082;9083;9084;9085;9086;9239;9240;9241;9242;9243;9244;9245;9971;10880;10881;11040;11041;11042;11043;11044;11045;11046;11047;11048;11049;11050;11051;11052;11053;11054;11055;11056;11057;11058;11059;11060;11061;11062;11063;11064;11065;11066;11067;11068;11069;11070;11071;11072;12544;12545;12546;12547;12548;12549;12550;12551;12552;12553;12554;12555;12556;12557;14077;14078;14079;14080;14081;14082,541;542;543;544;545;546;547;548;549;550;551;552;553;554;555;556;557;3196;3197;3198;3199;3200;3201;3202;3203;3693;3694;3695;3696;3697;3698;3699;3700;3701;3702;3703;3704;3705;3706;3707;3708;3709;3710;3711;3712;3713;3714;3715;3716;3717;3718;3719;3720;3721;3722;3723;3724;3725;3726;3727;3728;3729;3730;3731;3732;3733;3734;3735;3736;3737;3738;3739;3740;3741;3742;3743;3744;4357;4358;4359;4360;4361;4362;4363;4364;4365;4366;4367;4368;4369;4370;4371;4372;4373;4603;4604;5083;5084;5085;5086;5288;5289;5290;5291;5292;5293;5294;5295;5296;5297;5298;5299;5300;5301;5302;5303;5304;5305;5306;5307;5308;5309;5310;5311;5312;5313;5314;5315;5316;5317;5318;5319;5320;5321;5322;5323;5324;5325;5326;5327;7067;7068;7069;7070;7071;7072;7073;7074;7075;7076;7077;7078;7079;7080;7081;7082;7083;7084;7085;7086;7087;7088;7089;7090;7091;7092;7093;7094;7095;7096;7097;7098;7099;7100;7101;7102;7103;7104;7105;7106;7107;7108;7109;7110;7111;7112;7113;7114;7115;7116;7189;7190;7191;7192;7193;7194;7195;7196;7197;7198;7199;7200;7707;7708;7709;7710;7711;8031;8032;8033;8034;8035;8036;8037;8038;8039;8040;8041;8042;8043;8044;8045;8046;8047;8455;8456;8457;8458;8459;8460;8461;8462;8463;8464;8465;8466;8467;8468;8469;8470;8471;8472;8473;8474;8475;8476;8477;8478;8479;8480;8481;8482;8483;8484;8485;8486;8487;8488;8489;8490;9156;9157;9158;9159;9160;9161;9162;9611;9612;9613;9614;9615;10111;10112;10113;10114;10115;10116;10117;10118;10119;10120;10121;10122;10123;10124;10163;10164;10165;10166;10167;10719;10720;10721;10722;10723;10724;10725;10726;10727;10728;10729;10730;10731;10732;10733;10734;10735;10736;10737;10738;10739;10920;10921;10922;10923;10924;10925;10926;10927;10928;11784;11785;12827;12828;12829;12830;12831;12832;12833;12834;12835;12836;13039;13040;13041;13042;13043;13044;13045;13046;13047;13048;13049;13050;13051;13052;13053;13054;13055;13056;13057;13058;13059;13060;13061;13062;13063;13064;13065;13066;13067;13068;13069;13070;13071;13072;13073;13074;13075;13076;13077;13078;13079;13080;13081;13082;13083;13084;13085;13086;13087;13088;13089;13090;13091;13092;13093;13094;13095;14975;14976;14977;14978;14979;14980;14981;14982;14983;14984;14985;14986;14987;14988;14989;14990;14991;14992;14993;14994;16774;16775;16776;16777;16778;16779;16780;16781;16782;16783,554;3203;3714;4359;4368;4603;5084;5325;7098;7189;7710;8033;8469;9161;9615;10113;10165;10724;10927;11784;12828;13073;14988;16781,80;81;82;83;84;85;86;87;88;89;90;91;92;93,1;73;164;165;267;268;293;299;300;321;330;363;377;388,Tb927.1.2390,beta tubulin
103,Tb927.10.15370:mRNA-p1;Tb11.v5.0480.1-p1,Tb927.10.15370:mRNA-p1;Tb11.v5.0480.1-p1,2;2,2;2,2;2,;,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,2,9.5,9.5,9.5,37.376999999999995,337,337;337,22.0,,1.0,,,,2.0,,,0.0,11.274000000000001,By MS/MS,,,By MS/MS,4.2,0.0,0.0,9.5,187490,89163,0,0,98325,9867.8,4692.8,0.0,0.0,5175.0,0.0,0,0,67382.0,1,0,0,1,2,,,,103,2496;5089,True;True,2703;5573,5920;12291;12292,6971;14682;14683,6971;14682,,,Tb927.10.15370,"DNA-directed RNA polymerases I and III subunit RPAC1, putative"
104,Tb11.v5.0498.1-p1;Tb927.10.2570:mRNA-p1,Tb11.v5.0498.1-p1;Tb927.10.2570:mRNA-p1,2;2,2;2,2;2,;,2,2,2,2,0,1,0,1,0,1,0,1,0,1,0,1,2.3,2.3,2.3,79.141,708,708;997,36.5,,,,,,1.0,1.0,,0.00098232,10.960999999999999,,By MS/MS,,By MS/MS,0.0,1.3,0.0,1.0,46897,0,0,0,46897,1465.5,0.0,0.0,0.0,1465.5,0.0,0,0,32139.0,0,1,0,1,2,,,,104,2112;3108,True;True,2302;3368,4958;7394,5758;8718,5758;8718,,,Tb11.v5.0498,"lysosomal alpha-mannosidase precursor, putative"
105,Tb927.10.660:mRNA-p1;Tb11.v5.0500.1-p1,Tb927.10.660:mRNA-p1;Tb11.v5.0500.1-p1,8;8,8;8,8;8,;,2,8,8,8,8,0,0,5,8,0,0,5,8,0,0,5,22.4,22.4,22.4,46.369,416,416;416,13.5,,8.0,,,,5.0,,,0.0,85.22399999999999,By MS/MS,,,By MS/MS,22.4,0.0,0.0,14.4,2524600,2159200,0,0,365380,105190.0,89969.0,0.0,0.0,15224.0,571890.0,0,0,191500.0,8,0,0,5,13,,,,105,1101;1892;2540;2929;4444;4943;4966;5435,True;True;True;True;True;True;True;True,1194;2057;2759;3174;4869;5409;5434;5956,2573;4419;4420;6070;6071;6923;6924;10683;10684;11922;11923;11968;13223,2971;5107;5108;7148;7149;8183;8184;12613;12614;14147;14148;14200;15767,2971;5107;7148;8183;12613;14147;14200;15767,,,Tb927.10.660,"2-oxoisovalerate dehydrogenase alpha subunit, putative"
106,Tb927.10.3940:mRNA-p1;Tb11.v5.0501.1-p1;Tb927.10.3930:mRNA-p1,Tb927.10.3940:mRNA-p1;Tb11.v5.0501.1-p1;Tb927.10.3930:mRNA-p1,11;11;10,11;11;10,11;11;10,;;,3,11,11,11,10,9,4,4,10,9,4,4,10,9,4,4,43.8,43.8,43.8,29.421999999999997,256,256;256;256,18.0,8.0,10.0,4.0,,1.0,4.0,10.0,1.0,0.0,76.053,By MS/MS,By MS/MS,By MS/MS,By MS/MS,35.2,33.6,14.5,20.3,9577500,3870100,4686900,650860,369680,638500.0,258010.0,312460.0,43390.0,24645.0,1857100.0,3764300,3358600,467290.0,16,12,4,6,38,,,,106,1444;1480;1676;2314;2713;2892;2963;3746;4654;5512;5599,True;True;True;True;True;True;True;True;True;True;True,1572;1614;1822;2509;2945;3134;3209;4118;5096;6042;6135,3353;3354;3355;3439;3440;3908;3909;3910;3911;3912;3913;5436;5437;5438;5439;6485;6486;6487;6488;6855;6856;7008;7009;7010;7011;9054;9055;11200;11201;11202;13428;13429;13430;13431;13432;13651;13652;13653,3862;3863;3864;3957;3958;3959;3960;4513;4514;4515;4516;4517;4518;6387;6388;6389;6390;7631;7632;7633;7634;7635;8101;8102;8275;8276;10691;10692;13244;13245;16018;16019;16020;16021;16022;16272;16273;16274,3864;3957;4516;6388;7633;8102;8276;10691;13244;16018;16272,94;95,105;107,Tb927.10.3940,"40S ribosomal protein S3A, putative"
107,Tb927.10.6880:mRNA-p1;Tb11.v5.0516.1-p1,Tb927.10.6880:mRNA-p1;Tb11.v5.0516.1-p1,7;7,5;5,5;5,;,2,7,5,5,6,7,3,1,4,5,1,0,4,5,1,0,23.9,19.3,19.3,35.61,331,331;331,16.3,4.0,4.0,1.0,,,,5.0,,0.0,33.744,By MS/MS,By MS/MS,By MS/MS,By matching,19.6,23.9,7.9,2.1,1575600,967760,578020,29826,0,75029.0,46084.0,27525.0,1420.3,0.0,692320.0,423600,0,0.0,9,7,1,0,17,,,,107,201;1710;3352;3411;5203;5298;5401,True;True;False;True;False;True;True,213;1857;3628;3629;3693;5695;5800;5919,452;453;454;455;3988;3989;3990;7957;7958;7959;7960;7961;7962;7963;7964;7965;7966;7967;8087;12586;12587;12588;12589;12590;12591;12823;12824;12825;13140;13141;13142,521;522;523;524;4614;4615;9380;9381;9382;9383;9384;9385;9386;9387;9388;9389;9390;9391;9511;9512;15027;15028;15029;15030;15031;15032;15033;15034;15295;15296;15297;15298;15670;15671;15672;15673;15674,522;4614;9387;9512;15028;15296;15671,96,229,Tb927.10.6880,"glyceraldehyde 3-phosphate dehydrogenase, cytosolic"
