Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1	Razor + unique peptides 1	Unique peptides 1	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Identification type 1	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L 1	Ratio H/L normalized 1	Ratio H/L variability [%] 1	Ratio H/L count 1	Ratio H/L iso-count 1	Ratio H/L type 1	Sequence coverage 1 [%]	Intensity	Intensity L	Intensity H	Intensity 1	Intensity L 1	Intensity H 1	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Tb927.1.3170:mRNA-p1	Tb927.1.3170:mRNA-p1	2	2	2		1	2	2	2	2	2	2	6.6	6.6	6.6	34.259	305	305	4				2			0.00052659	1.7474	By MS/MS	0.3442	0.34862	160.43	2	1	Median	0.3442	0.34862	160.43	2	1	Median	6.6	706440	389130	317310	706440	389130	317310				239	3941;6406	True;True	4113;6741	5497;9011	7702;12395	7702;12395		
Tb927.1.3270:mRNA-p1	Tb927.1.3270:mRNA-p1	1	1	1		1	1	1	1	1	1	1	1.6	1.6	1.6	98.508	911	911	1	1						0.0025432	1.5253	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	1.6	175590	74450	101140	175590	74450	101140				240	5033	True	5244	7021	9703	9703		
Tb927.1.3400:mRNA-p1	Tb927.1.3400:mRNA-p1	2	2	2		1	2	2	2	2	2	2	10.6	10.6	10.6	38.214	349	349	4				2			0	7.5858	By MS/MS	1.0901	1.0722	12.953	2	0	Median	1.0901	1.0722	12.953	2	0	Median	10.6	1222600	616580	605970	1222600	616580	605970				241	3557;3727	True;True	3710;3886	4932;5180	6871;7228;7229	6871;7229		
Tb927.1.3410.1:mRNA-p1;Tb927.1.3410.2:mRNA-p1	Tb927.1.3410.1:mRNA-p1;Tb927.1.3410.2:mRNA-p1	2;2	2;2	2;2	;	2	2	2	2	2	2	2	5.9	5.9	5.9	47.123	437	437;498	2.5		1	1				0	4.9264	By MS/MS	1.0949	1.0705	6.7643	2	0	Median	1.0949	1.0705	6.7643	2	0	Median	5.9	282660	139960	142690	282660	139960	142690				242	2171;3035	True;True	2278;3166	2992;4190	4161;4162;5844	4161;5844		
Tb927.1.3810:mRNA-p1	Tb927.1.3810:mRNA-p1	1	1	1		1	1	1	1	1	1	1	7.5	7.5	7.5	13.375	120	120	6						1	0.00054615	2.0266	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	7.5	181450	89883	91567	181450	89883	91567				243	8364	True	8775	11804	16283	16283		
Tb927.1.3830:mRNA-p1	Tb927.1.3830:mRNA-p1	2	2	2		1	2	2	2	2	2	2	4.4	4.4	4.4	67.614	607	607	2		2					0	7.9466	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	4.4	428390	216110	212280	428390	216110	212280				244	5378;7399	True;True	5601;7774	7456;10439	10273;14325	10273;14325		
Tb927.1.3910:mRNA-p1	Tb927.1.3910:mRNA-p1	11	11	11		1	11	11	11	11	11	11	15	15	15	99.782	907	907	1	11						0	80.593	By MS/MS	0.99277	0.98831	9.903	11	0	Leave out requantified	0.99277	0.98831	9.903	11	0	Leave out requantified	15	4911600	2440100	2471500	4911600	2440100	2471500				245	296;1420;2842;3012;4645;5477;5828;5907;6487;6534;7576	True;True;True;True;True;True;True;True;True;True;True	305;1486;2969;3142;4840;5717;6141;6227;6823;6871;7960	418;1959;3922;4159;6487;7596;8190;8340;9105;9163;10722	593;594;2706;2707;5478;5479;5796;5797;8984;10459;10460;11296;11501;11502;12515;12594;14718;14719	593;2706;5478;5796;8984;10459;11296;11502;12515;12594;14718	171	1
Tb927.1.410:pseudogenic_transcript-p1;Tb927.2.1180:mRNA-p1	Tb927.1.410:pseudogenic_transcript-p1	5;2	1;1	0;0		2	5	1	0	5	1	0	8.4	1.7	0	64.931	581	581;579	1	1						0	5.1229	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	8.4	0	0	0	0	0	0				246	3051;3733;5537;5663;8044	True;False;False;False;False	3184;3892;5810;5811;5970;8442	4221;5186;7733;7734;7928;7929;11344	5881;7236;10672;10673;10674;10933;10934;10935;15617;15618	5881;7236;10672;10935;15617	131	1
Tb927.1.4100:mRNA-p1	Tb927.1.4100:mRNA-p1	6	6	6		1	6	6	6	6	6	6	17.6	17.6	17.6	40.534	353	353	4				6			0	28.299	By MS/MS	0.99689	1.0152	9.1836	4	0	Leave out requantified	0.99689	1.0152	9.1836	4	0	Leave out requantified	17.6	5729700	2865500	2864200	5729700	2865500	2864200				247	2253;3737;3871;5207;7362;8876	True;True;True;True;True;True	2362;3896;4035;5421;7733;9314	3119;5190;5390;7250;10389;12509	4333;4334;4335;7240;7525;7526;9994;14264;17280;17281	4335;7240;7526;9994;14264;17280		
Tb927.1.420:mRNA-p1;Tb927.4.250:mRNA-p1;Tb927.2.980:pseudogenic_transcript-p1	Tb927.1.420:mRNA-p1;Tb927.4.250:mRNA-p1	9;6;2	2;2;0	0;0;0	;	3	9	2	0	9	2	0	14.1	3.1	0	76.289	675	675;675;155	1	3						0	5.0434	By MS/MS	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	14.1	866550	456280	410270	866550	456280	410270				248	3231;3311;5732;5856;6734;7018;7252;8292;8379	False;False;False;False;False;False;True;True;False	3380;3461;6041;6175;7076;7373;7618;8702;8792	4489;4595;8020;8265;9443;9866;9867;10227;11706;11707;11840	6240;6241;6389;11055;11056;11408;12973;13533;13534;14045;16133;16134;16346	6241;6389;11055;11408;12973;13534;14045;16133;16346		
Tb927.1.4220.1:mRNA-p1;Tb927.1.4220.2:mRNA-p1	Tb927.1.4220.1:mRNA-p1;Tb927.1.4220.2:mRNA-p1	1;1	1;1	1;1	;	2	1	1	1	1	1	1	3.3	3.3	3.3	41.812	399	399;428	4				1			0	2.7549	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	3.3	137790	60633	77157	137790	60633	77157				249	2467	True	2583	3408	4741;4742	4742		
Tb927.1.4230:mRNA-p1	Tb927.1.4230:mRNA-p1	6	6	6		1	6	6	6	6	6	6	19.2	19.2	19.2	49.86	426	426	3			7				0	27.114	By MS/MS	1.4638	1.4616	1.6343	5	0	Leave out requantified	1.4638	1.4616	1.6343	5	0	Leave out requantified	19.2	2405000	997130	1407800	2405000	997130	1407800				250	1007;2143;6625;7386;8815;8853	True;True;True;True;True;True	1046;2247;6965;7759;9253;9291	1398;2955;2956;9286;10422;12435;12480	1948;4110;4111;4112;4113;12759;12760;14305;17178;17240	1948;4111;12759;14305;17178;17240		
Tb927.1.4420:mRNA-p1	Tb927.1.4420:mRNA-p1	7	7	7		1	7	7	7	7	7	7	8.9	8.9	8.9	104.68	945	945	1	8						0	14.991	By MS/MS	0.93182	0.91084	12.112	6	0	Leave out requantified	0.93182	0.91084	12.112	6	0	Leave out requantified	8.9	1874900	940600	934260	1874900	940600	934260				251	5836;6016;6966;7749;8094;8676;8715	True;True;True;True;True;True;True	6149;6341;7318;8139;8495;9111;9151	8198;8499;9796;9797;10956;11411;12255;12303	11306;11712;13432;13433;15038;15709;16922;16989	11306;11712;13433;15038;15709;16922;16989		
Tb927.1.4490:mRNA-p1	Tb927.1.4490:mRNA-p1	2	2	2		1	2	2	2	2	2	2	12.8	12.8	12.8	19.682	172	172	6						2	0	9.1814	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	12.8	340190	128490	211710	340190	128490	211710				252	3386;5396	True;True	3537;5620	4698;7475	6548;6549;6550;10301	6548;10301		
Tb927.1.450:pseudogenic_transcript-p1	Tb927.1.450:pseudogenic_transcript-p1	5	2	0		1	5	2	0	5	2	0	2.5	0.6	0	229.01	2097	2097	1	2						0	6.7435	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	2.5	395900	201780	194130	395900	201780	194130				253	95;1548;1758;3178;8548	False;True;False;False;True	98;1623;1840;3324;8975	131;2149;2441;4410;12077	192;2950;2951;3375;3376;6133;16677	192;2950;3375;6133;16677		
Tb927.1.4680:mRNA-p1	Tb927.1.4680:mRNA-p1	5	5	5		1	5	5	5	5	5	5	19.6	19.6	19.6	37.287	331	331	4				7			0	28.719	By MS/MS	0.9862	0.98086	9.7	7	3	Leave out requantified	0.9862	0.98086	9.7	7	3	Leave out requantified	19.6	2896400	1539700	1356600	2896400	1539700	1356600				254	1297;2453;5899;8906;9001	True;True;True;True;True	1353;2569;6218;9346;9347;9447	1806;3393;8325;12549;12550;12551;12697	2498;2499;4715;4716;11483;17337;17338;17339;17340;17529;17530	2499;4715;11483;17337;17529	172;173;174	140;214;287
Tb927.1.4690:mRNA-p1	Tb927.1.4690:mRNA-p1	2	2	2		1	2	2	2	2	2	2	7	7	7	39.206	345	345	4				2			0	7.544	By MS/MS	1.159	1.1294	9.6019	2	0	Median	1.159	1.1294	9.6019	2	0	Median	7	663230	297100	366140	663230	297100	366140				255	5145;6288	True;True	5357;6620	7164;8856	9883;9884;12179;12180	9884;12179		
Tb927.1.4760:mRNA-p1	Tb927.1.4760:mRNA-p1	6	6	6		1	6	6	6	6	6	6	6.4	6.4	6.4	114.71	1028	1028	1	6						0	8.7338	By MS/MS	0.91069	0.90213	35.555	4	0	Leave out requantified	0.91069	0.90213	35.555	4	0	Leave out requantified	6.4	1114200	558270	555940	1114200	558270	555940				256	969;1439;4506;4727;5102;6452	True;True;True;True;True;True	1004;1506;4696;4925;5314;6787	1351;1983;6296;6600;7111;9064	1891;1892;2736;8726;9135;9815;12460;12461	1891;2736;8726;9135;9815;12461		
Tb927.1.5000:mRNA-p1	Tb927.1.5000:mRNA-p1	2	2	2		1	2	2	2	2	2	2	8.1	8.1	8.1	30.458	271	271	6						2	0	12.881	By MS/MS	0.98156	0.99576	39.361	2	0	Median	0.98156	0.99576	39.361	2	0	Median	8.1	492460	263440	229010	492460	263440	229010				257	414;7730	True;True	426;8120	569;10934	800;15007	800;15007		
Tb927.1.5030:mRNA-p1	Tb927.1.5030:mRNA-p1	2	2	2		1	2	2	2	2	2	2	2.9	2.9	2.9	80.773	735	735	1	2						0.00054975	2.0529	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	2.9	0	0	0	0	0	0				258	2924;4060	True;True	3053;4235	4059;5678	5657;7949	5657;7949		
Tb927.1.640:mRNA-p1	Tb927.1.640:mRNA-p1	1	1	1		1	1	1	1	1	1	1	0.7	0.7	0.7	176.31	1648	1648	1	1						0.001039	1.6622	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	0.7	59216	26706	32510	59216	26706	32510				259	8594	True	9023	12132	16746	16746		
Tb927.1.670:mRNA-p1	Tb927.1.670:mRNA-p1	4	4	4		1	4	4	4	4	4	4	8.1	8.1	8.1	65.781	614	614	2		4					0	10.513	By MS/MS	0.99316	0.9454	5.868	3	0	Leave out requantified	0.99316	0.9454	5.868	3	0	Leave out requantified	8.1	629780	305820	323960	629780	305820	323960				260	332;1372;4849;6931	True;True;True;True	341;1433;5049;7283	462;1897;6765;9755	650;2615;9345;13375	650;2615;9345;13375		
Tb927.1.700:mRNA-p1	Tb927.1.700:mRNA-p1	8	1	1		1	8	1	1	8	1	1	26.6	3	3	47.245	440	440	4				1			0	2.6042	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	26.6	0	0	0	0	0	0				261	870;3892;4011;5568;5571;6112;8318;8572	False;True;False;False;False;False;False;False	900;901;4056;4184;4185;5853;5856;5857;6441;8728;9000;9001	1195;1196;5429;5609;5610;7783;7786;7787;8614;11746;12107;12108	1661;1662;7615;7870;7871;7872;10743;10746;10747;10748;10749;11865;16197;16714;16715	1661;7615;7870;10743;10747;11865;16197;16714	175;176;177;178;179	123;193;230;313;391
Tb927.1.710:mRNA-p1	Tb927.1.710:mRNA-p1	11	11	3		1	11	11	3	11	11	3	36.2	36.2	8.3	45.247	420	420	4				15			0	42.268	By MS/MS	0.73359	0.74217	214.06	8	3	Leave out requantified	0.73359	0.74217	214.06	8	3	Leave out requantified	36.2	8027400	5391800	2635600	8027400	5391800	2635600				262	870;3886;4011;5139;5568;5571;6112;7127;7954;8318;8572	True;True;True;True;True;True;True;True;True;True;True	900;901;4050;4184;4185;5351;5853;5856;5857;6441;7485;8347;8728;9000;9001	1195;1196;5423;5609;5610;7157;7783;7786;7787;8614;10028;11222;11746;12107;12108	1661;1662;7608;7870;7871;7872;9874;10743;10746;10747;10748;10749;11865;13747;15427;15428;16197;16714;16715	1661;7608;7870;9874;10743;10747;11865;13747;15427;16197;16714	175;177;178;179	123;230;313;391
Tb927.1.720:mRNA-p1	Tb927.1.720:mRNA-p1	6	2	2		1	6	2	2	6	2	2	18.9	6.1	6.1	55.747	509	509	3		1	1	1			0	11.521	By MS/MS	0.78944	0.7718	0.00066622	2	0	Median	0.78944	0.7718	0.00066622	2	0	Median	18.9	440930	251880	189040	440930	251880	189040				263	870;2653;3886;4011;4045;8318	False;True;False;False;True;False	900;901;2775;4050;4184;4185;4220;8728	1195;1196;3663;3664;5423;5609;5610;5654;11746	1661;1662;5117;5118;5119;7608;7870;7871;7872;7922;16197	1661;5118;7608;7870;7922;16197	175;180	319;402
Tb927.1.730:mRNA-p1	Tb927.1.730:mRNA-p1	3	3	3		1	3	3	3	3	3	3	7	7	7	62.84	569	569	2.33		2	1				0	2.6796	By MS/MS	1.4468	1.3999	0.11525	2	0	Median	1.4468	1.3999	0.11525	2	0	Median	7	252890	103420	149470	252890	103420	149470				264	24;322;6463	True;True;True	26;331;6798	33;450;9077	46;637;12482	46;637;12482		
Tb927.1.740:mRNA-p1	Tb927.1.740:mRNA-p1	4	4	4		1	4	4	4	4	4	4	13.8	13.8	13.8	48.865	435	435	3.75			1	3			0	3.821	By MS/MS	1.0758	1.0769	26.447	4	0	Leave out requantified	1.0758	1.0769	26.447	4	0	Leave out requantified	13.8	782580	378160	404420	782580	378160	404420				265	352;3155;6154;6156	True;True;True;True	361;3300;6484;6486	486;4373;8669;8672	677;6080;11946;11949	677;6080;11946;11949		
Tb927.1.840:mRNA-p1	Tb927.1.840:mRNA-p1	1	1	1		1	1	1	1	1	1	1	4.8	4.8	4.8	21.18	187	187	6						1	0.0010384	1.6619	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	4.8	209880	109400	100480	209880	109400	100480				266	3434	True	3585	4769	6661;6662	6662		
Tb927.1.870:mRNA-p1	Tb927.1.870:mRNA-p1	1	1	1		1	1	1	1	1	1	1	4.4	4.4	4.4	37.378	342	342	4				1			0	4.4264	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	4.4	80287	37853	42434	80287	37853	42434				267	8198	True	8605	11573	15955;15956	15956		
Tb927.1.90:pseudogenic_transcript-p1	Tb927.1.90:pseudogenic_transcript-p1	4	1	1		1	4	1	1	4	1	1	5.9	2	2	67.289	592	592	1	1						0	4.0362	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	5.9	0	0	0	0	0	0				268	96;1548;3050;8548	True;False;False;False	99;1623;3183;8975	132;2149;4220;12077	193;2950;2951;5880;16677	193;2950;5880;16677		
Tb927.10.10010:mRNA-p1	Tb927.10.10010:mRNA-p1	1	1	1		1	1	1	1	1	1	1	4	4	4	25.628	226	226	5					1		0.00054735	2.0356	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	4	489950	213110	276840	489950	213110	276840				269	3373	True	3524	4685	6528;6529;6530;6531	6528		
Tb927.10.10120:mRNA-p1	Tb927.10.10120:mRNA-p1	1	1	1		1	1	1	1	1	1	1	1.9	1.9	1.9	63.236	574	574	2		1					0.00053505	1.8812	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	1.9	287700	145440	142260	287700	145440	142260				270	7383	True	7756	10419	14301	14301		
Tb927.10.10130:mRNA-p1	Tb927.10.10130:mRNA-p1	3	3	3		1	3	3	3	3	3	3	9	9	9	61.046	545	545	2		4					0	19.14	By MS/MS	0.9317	0.88222	3.4527	4	0	Leave out requantified	0.9317	0.88222	3.4527	4	0	Leave out requantified	9	788810	438040	350760	788810	438040	350760				271	2241;4464;6554	True;True;True	2350;4652;6892	3103;6236;9194;9195	4311;4312;8647;8648;12635;12636;12637;12638	4311;8647;12637	181	409
Tb927.10.10160:mRNA-p1	Tb927.10.10160:mRNA-p1	2	2	2		1	2	2	2	2	2	2	8	8	8	31.781	288	288	4				2			0	3.9296	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	8	0	0	0	0	0	0				272	5935;8872	True;True	6255;9310	8380;12504	11553;17275	11553;17275		
Tb927.10.10170:mRNA-p1	Tb927.10.10170:mRNA-p1	3	3	3		1	3	3	3	3	3	3	7.2	7.2	7.2	48.744	444	444	3			3				0	17.381	By MS/MS	1.0442	1.0404	72.662	3	1	Median	1.0442	1.0404	72.662	3	1	Median	7.2	1804200	540610	1263600	1804200	540610	1263600				273	5981;8398;8486	True;True;True	6303;8811;8910	8441;11865;11985	11631;16379;16380;16543	11631;16379;16543		
Tb927.10.10330:mRNA-p1	Tb927.10.10330:mRNA-p1	4	4	4		1	4	4	4	4	4	4	8.1	8.1	8.1	62.877	557	557	2.5		3		1			0	5.8084	By MS/MS	0.98405	0.94193	6.1557	3	0	Leave out requantified	0.98405	0.94193	6.1557	3	0	Leave out requantified	8.1	890680	442750	447930	890680	442750	447930				274	667;921;2025;6595	True;True;True;True	691;955;2123;6935	916;1284;2808;9254	1288;1802;3905;12715	1288;1802;3905;12715		
Tb927.10.10350:mRNA-p1	Tb927.10.10350:mRNA-p1	2	2	2		1	2	2	2	2	2	2	3.6	3.6	3.6	66.762	606	606	2		2					0	2.9802	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	3.6	536660	266300	270360	536660	266300	270360				275	4578;8225	True;True	4770;8634	6402;11610	8874;16005	8874;16005		
Tb927.10.10390:mRNA-p1	Tb927.10.10390:mRNA-p1	8	8	8		1	8	8	8	8	8	8	17.7	17.7	17.7	53.156	492	492	2.9		1	9				0	21.895	By MS/MS	0.87193	0.84935	0.094789	2	0	Median	0.87193	0.84935	0.094789	2	0	Median	17.7	13590000	7056000	6533600	13590000	7056000	6533600				276	2103;2821;2907;5452;6226;7580;7619;8601	True;True;True;True;True;True;True;True	2205;2948;3036;5686;6556;6557;7964;8004;9031	2908;3886;4039;7556;8766;8767;8768;10731;10787;12140	4048;5432;5433;5633;5634;10403;12063;12064;12065;14734;14814;16755	4048;5432;5634;10403;12064;14734;14814;16755	182;183	250;484
Tb927.10.10410:mRNA-p1;Tb11.v5.0535.1-p1	Tb927.10.10410:mRNA-p1;Tb11.v5.0535.1-p1	3;2	3;2	3;2	;	2	3	3	3	3	3	3	5.8	5.8	5.8	77.53	711	711;474	2		3					0	9.483	By MS/MS	0.94646	0.89154	5.492	3	0	Leave out requantified	0.94646	0.89154	5.492	3	0	Leave out requantified	5.8	1412600	693350	719240	1412600	693350	719240				277	666;6769;7667	True;True;True	690;7118;8054	915;9500;10851	1286;1287;13046;13047;14902	1286;13046;14902		
Tb927.10.10590:mRNA-p1;Tb927.10.10580:mRNA-p1;Tb927.10.10570:mRNA-p1;Tb927.10.10560:mRNA-p1;Tb927.10.10550:mRNA-p1;Tb927.10.10540:mRNA-p1;Tb927.10.10530:mRNA-p1;Tb927.10.10520:mRNA-p1;Tb927.10.10510:mRNA-p1;Tb927.10.10500:mRNA-p1;Tb927.10.10490:mRNA-p1;Tb927.10.10480:mRNA-p1;Tb927.10.10470:mRNA-p1;Tb927.10.10460:mRNA-p1;Tb927.10.10445:mRNA-p1	Tb927.10.10590:mRNA-p1;Tb927.10.10580:mRNA-p1;Tb927.10.10570:mRNA-p1;Tb927.10.10560:mRNA-p1;Tb927.10.10550:mRNA-p1;Tb927.10.10540:mRNA-p1;Tb927.10.10530:mRNA-p1;Tb927.10.10520:mRNA-p1;Tb927.10.10510:mRNA-p1;Tb927.10.10500:mRNA-p1;Tb927.10.10490:mRNA-p1;Tb927.10.10480:mRNA-p1;Tb927.10.10470:mRNA-p1;Tb927.10.10460:mRNA-p1;Tb927.10.10445:mRNA-p1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	;;;;;;;;;;;;;;	15	1	1	1	1	1	1	10.7	10.7	10.7	12.569	112	112;112;112;112;112;112;112;112;112;112;112;112;112;112;112	4.33	1		1	2	3	2	0	5.3011	By MS/MS	0.62528	0.63114	10.845	7	1	Median	0.62528	0.63114	10.845	7	1	Median	10.7	1746700	1062400	684330	1746700	1062400	684330				278	4138	True	4315	5784;5785;5786;5787;5788;5789;5790;5791;5792	8097;8098;8099;8100;8101;8102;8103;8104;8105;8106;8107;8108;8109;8110	8110		
Tb927.10.1060:mRNA-p1	Tb927.10.1060:mRNA-p1	18	18	18		1	18	18	18	18	18	18	37.5	37.5	37.5	58.361	536	536	2.27	2	21	9	1			0	97.793	By MS/MS	0.77397	0.73588	9.0402	16	4	Leave out requantified	0.77397	0.73588	9.0402	16	4	Leave out requantified	37.5	14101000	5510400	8590200	14101000	5510400	8590200				279	52;504;880;1048;1098;1368;2393;2814;3229;3660;3668;3842;3945;4086;4359;6540;7455;7806	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	54;519;912;1088;1143;1429;2508;2941;3377;3378;3816;3817;3825;4003;4004;4117;4261;4546;6877;7832;8197	70;699;1215;1466;1531;1532;1533;1892;1893;3304;3877;3878;4483;4484;4485;4486;4487;5075;5076;5077;5078;5089;5338;5339;5340;5341;5501;5715;6101;9171;9172;10517;11030	94;986;987;1685;2043;2129;2130;2131;2607;2608;2609;2610;4587;5421;5422;6231;6232;6233;6234;6235;6236;6237;7080;7081;7082;7083;7102;7460;7461;7462;7463;7464;7465;7466;7708;8001;8465;12607;12608;14437;15144	94;987;1685;2043;2130;2607;4587;5421;6236;7082;7102;7464;7708;8001;8465;12608;14437;15144	184;185;186	172;392;533
Tb927.10.1070:mRNA-p1	Tb927.10.1070:mRNA-p1	7	7	6		1	7	7	6	7	7	6	21.9	21.9	19.3	34.35	301	301	4				8			0	19.616	By MS/MS	0.61956	0.61837	6.1523	7	2	Leave out requantified	0.61956	0.61837	6.1523	7	2	Leave out requantified	21.9	6081800	3903800	2178000	6081800	3903800	2178000				280	1318;2581;3775;4339;4637;5662;6846	True;True;True;True;True;True;True	1375;2702;3934;4526;4832;5969;7196	1830;3561;5241;6069;6070;6479;7927;9648	2531;4955;4956;7311;7312;8419;8420;8971;8972;10932;13226	2531;4955;7311;8419;8971;10932;13226		
Tb927.10.10700:mRNA-p1	Tb927.10.10700:mRNA-p1	4	4	4		1	4	4	4	4	4	4	15.8	15.8	15.8	39.686	355	355	4				4			0	8.7282	By MS/MS	1.0104	0.97898	7.4504	2	0	Median	1.0104	0.97898	7.4504	2	0	Median	15.8	680710	373550	307160	680710	373550	307160				281	5129;5337;7248;7708	True;True;True;True	5341;5559;7614;8097	7145;7408;10220;10906	9858;10212;10213;14033;14034;14971	9858;10213;14033;14971		
Tb927.10.10740:mRNA-p1	Tb927.10.10740:mRNA-p1	2	2	2		1	2	2	2	2	2	2	3.4	3.4	3.4	61.063	567	567	2		2					0	4.2255	By MS/MS	1.1535	1.1149	21.506	2	0	Median	1.1535	1.1149	21.506	2	0	Median	3.4	277220	131340	145880	277220	131340	145880				282	2206;5312	True;True	2315;5533	3061;7379	4249;4250;10174	4250;10174		
Tb927.10.1090:mRNA-p1;Tb927.10.1080:mRNA-p1	Tb927.10.1090:mRNA-p1;Tb927.10.1080:mRNA-p1	2;2	2;2	2;2	;	2	2	2	2	2	2	2	16.1	16.1	16.1	15.928	143	143;143	6						3	0	6.0394	By MS/MS	0.99911	1.0356	2.9359	3	0	Median	0.99911	1.0356	2.9359	3	0	Median	16.1	5915600	3013900	2901700	5915600	3013900	2901700				283	6690;8626	True;True	7032;9057	9388;9389;12177	12900;12901;12902;16815;16816;16817;16818	12901;16815		
Tb927.10.10830:mRNA-p1	Tb927.10.10830:mRNA-p1	3	3	3		1	3	3	3	3	3	3	12.8	12.8	12.8	32.404	320	320	4				3			0	14.211	By MS/MS	1.0368	1.0478	13.151	2	0	Median	1.0368	1.0478	13.151	2	0	Median	12.8	11217000	5415500	5801800	11217000	5415500	5801800				284	943;1696;8542	True;True;True	978;1776;8968	1314;2352;12067	1844;1845;3225;16661	1845;3225;16661		
Tb927.10.10850:mRNA-p1	Tb927.10.10850:mRNA-p1	3	3	3		1	3	3	3	3	3	3	3.1	3.1	3.1	99.184	903	903	1	3						0	4.4245	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	3.1	0	0	0	0	0	0				285	2286;6939;7333	True;True;True	2396;7291;7704	3161;9764;10349	4388;13386;14211	4388;13386;14211		
Tb927.10.10880:mRNA-p1	Tb927.10.10880:mRNA-p1	2	2	2		1	2	2	2	2	2	2	3.2	3.2	3.2	77.697	684	684	1	2						0	5.1603	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	3.2	443020	234760	208260	443020	234760	208260				286	2863;5896	True;True	2990;6215	3951;8321	5523;5524;11479	5523;11479		
Tb927.6.4690:mRNA-p1;Tb927.10.1100:mRNA-p1	Tb927.6.4690:mRNA-p1;Tb927.10.1100:mRNA-p1	2;2	2;2	2;2	;	2	2	2	2	2	2	2	16	16	16	21.661	187	187;189	4				2			0	3.6383	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	16	971540	558640	412910	971540	558640	412910				287	3947;6728	True;True	4119;7070	5503;9436	7710;7711;12965	7710;12965		
Tb927.10.11020:mRNA-p1	Tb927.10.11020:mRNA-p1	1	1	1		1	1	1	1	1	1	1	0.9	0.9	0.9	105.34	951	951	1	1						0.0082324	1.2848	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	0.9	164870	86154	78717	164870	86154	78717				288	1054	True	1094	1473	2052	2052		
Tb927.10.11050:mRNA-p1	Tb927.10.11050:mRNA-p1	1	1	1		1	1	1	1	1	1	1	3.2	3.2	3.2	35.312	314	314	4				1			0	4.5496	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	3.2	299730	156850	142890	299730	156850	142890				289	958	True	993	1340	1878;1879	1878		
Tb927.10.11180:mRNA-p1	Tb927.10.11180:mRNA-p1	4	4	4		1	4	4	4	4	4	4	8.2	8.2	8.2	83.425	754	754	1	4						0	10.466	By MS/MS	0.98905	0.98117	12.52	4	0	Leave out requantified	0.98905	0.98117	12.52	4	0	Leave out requantified	8.2	1560000	781230	778810	1560000	781230	778810				290	210;1088;3402;6381	True;True;True;True	216;1133;3553;6716	294;1518;4721;8982	417;418;2113;6590;6591;12351	417;2113;6591;12351		
